Player,Team,Pos,PPP
Darnell Nurse,EDM,D,0
Freddy Gaudreau,SEA,C,3
Jonathan Drouin,"NYI,STL",LW,6
Devon Toews,COL,D,1
Artyom Levshunov,CHI,D,11
Josh Anderson,MTL,RW,0
Kailer Yamamoto,UTA,RW,0
Morgan Barron,WPG,C,0
Nick Cousins,OTT,C,0
Brendan Gallagher,MTL,RW,5
Mario Ferraro,SJS,D,0
Yakov Trenin,MIN,C,0
Drew Doughty,LAK,D,1
Ian Cole,UTA,D,0
Joel Edmundson,LAK,D,3
Brett Howden,VGK,C,3
Mark Kastelic,BOS,C,1
Pontus Holmberg,TBL,RW,0
Jonatan Berggren,"DET,STL",RW,3
Tye Kartye,"SEA,NYR",LW,0
Pavel Mintyukov,ANA,D,2
Alexandre Carrier,MTL,D,0
Kent Johnson,CBJ,C,2
Olen Zellweger,ANA,D,3
Jared Spurgeon,MIN,D,6
Sean Kuraly,BOS,C,0
Tanner Jeannot,BOS,LW,1
Nate Schmidt,UTA,D,0
Nikita Zadorov,BOS,D,0
Dalibor Dvorsky,STL,RW,7
Mark Jankowski,CAR,LW,2
Michael Misa,SJS,C,4
Ryan Strome,"ANA,CGY",C,2
Alexandre Texier,"STL,MTL",LW,1
Axel Sandin-Pellikka,DET,D,7
Ryan McDonagh,TBL,D,0
Nic Dowd,"WSH,VGK",RW,0
Adam Lowry,WPG,C,0
Tom Willander,VAN,D,3
Alex Vlasic,CHI,D,0
Scott Laughton,"TOR,LAK",C,2
Zemgus Girgensons,TBL,C,0
Jake Walman,EDM,D,2
Philipp Kurashev,SJS,C,2
Matvei Gridin,CGY,RW,7
Mikey Anderson,LAK,D,0
Max Sasson,VAN,C,1
Taylor Raddysh,NYR,RW,1
Marco Kasper,DET,C,2
Igor Chernyshov,SJS,LW,5
Nino Niederreiter,WPG,RW,5
Blake Lizotte,PIT,C,0
Pierre-Luc Dubois,WSH,C,6
Oliver Moore,CHI,C,5
Dylan DeMelo,WPG,D,0
Samuel Girard,"COL,PIT",D,0
Matt Roy,WSH,D,0
Eric Robinson,CAR,LW,0
Casey Cizikas,NYI,C,0
Dakota Joshua,TOR,C,0
Michael Eyssimont,BOS,C,4
Liam Ohgren,"MIN,VAN",LW,0
William Carrier,CAR,LW,0
Conor Sheary,NYR,LW,2
Steven Lorentz,TOR,C,0
Kyle Palmieri,NYI,C,5
Vinnie Hinostroza,"MIN,FLA",C,2
Matthew Robertson,NYR,D,0
Adam Klapka,CGY,RW,2
Maksim Shabanov,NYI,RW,5
Jonas Brodin,MIN,D,1
Colton Parayko,STL,D,0
Kevin Stenlund,UTA,C,0
Kevin Bahl,CGY,D,1
Ryan Winterton,SEA,C,0
Marcus Pettersson,VAN,D,0
Tyler Kleven,OTT,D,0
Braden Schneider,NYR,D,0
Warren Foegele,"LAK,OTT",LW,1
Tyson Foerster,PHI,RW,4
Teddy Blueger,VAN,C,1
Michael McCarron,"NSH,MIN",C,0
Kasperi Kapanen,EDM,RW,0
Cole Koepke,WPG,L,0
Ryker Evans,SEA,D,1
Tyler Seguin,DAL,C,4
Jason Dickinson,"CHI,EDM",C,0
Berkly Catton,SEA,C,2
Phillip Danault,"LAK,MTL",C,0
Keegan Kolesar,VGK,RW,0
Wyatt Kaiser,CHI,D,0
Connor Murphy,"CHI,EDM",D,0
Oskar Sundqvist,STL,C,1
Denver Barkey,PHI,C,4
Nick Jensen,OTT,D,0
Fedor Svechkov,NSH,C,0
Tyler Tucker,STL,D,0
Brian Dumoulin,LAK,D,0
Radek Faksa,DAL,C,0
Jalen Chatfield,CAR,D,0
Zach Whitecloud,"VGK,CGY",D,0
Victor Hedman,TBL,D,6
Sam Carrick,"NYR,BUF",C,0
Alex Steeves,BOS,C,3
Andrew Mangiapane,"EDM,CHI",LW,0
Tyson Jost,NSH,C,0
Jonny Brodzinski,NYR,C,2
Adam Pelech,NYI,D,0
Hendrix Lapierre,WSH,C,0
Kaedan Korczak,VGK,D,0
Jacob Middleton,MIN,D,0
Adam Wilsby,NSH,D,0
Jonas Siegenthaler,NJD,D,0
Nick Lardis,CHI,LW,3
Paul Cotter,NJD,LW,1
Cole Reinhardt,"VGK,FLA",LW,0
Kirby Dach,MTL,C,2
Tanner Pearson,"WPG,BUF",LW,0
Nick Paul,TBL,LW,3
Ben Meyers,SEA,C,0
Dominic James,TBL,C,0
Ben Hutton,VGK,D,0
Lars Eller,OTT,C,0
Ben Chiarot,DET,D,0
Ondrej Palat,"NJD,NYI",LW,2
Jamie Oleksiak,SEA,D,0
Will Borgen,NYR,D,0
Uvis Balinskis,FLA,D,6
Nick Foligno,"CHI,MIN",LW,2
Colin Blackwell,DAL,C,0
Adam Henrique,EDM,C,3
Brenden Dillon,NJD,D,0
Nicolas Hague,NSH,D,0
Scott Mayfield,NYI,D,0
Olli Maatta,"UTA,CGY",D,0
Henri Jokiharju,BOS,D,2
Drew Helleson,ANA,D,0
Vladislav Namestnikov,WPG,C,2
Miles Wood,CBJ,LW,0
Beck Malenstyn,BUF,LW,0
Mason Appleton,DET,C,0
Michael Rasmussen,DET,C,0
Andrew Peeke,BOS,D,0
Aatu Räty,VAN,C,0
Sam Rinzel,CHI,D,1
Nikita Grebenkin,PHI,RW,0
Ross Johnston,ANA,LW,0
Trevor van Riemsdyk,WSH,D,0
Troy Stecher,"EDM,TOR",D,0
Alex Turcotte,LAK,C,0
Rasmus Ristolainen,PHI,D,1
Dylan Samberg,WPG,D,0
Sam Dickinson,SJS,D,0
Carl Grundstrom,PHI,RW,0
Marcus Foligno,MIN,LW,2
Alexander Kerfoot,UTA,C,0
Elmer Soderblom,"DET,PIT",LW,0
Jeff Skinner,SJS,LW,4
Gavin Brindley,COL,C,0
Colton Dach,"CHI,EDM",C,2
Logan Mailloux,STL,D,2
Jesper Boqvist,FLA,C,1
Nick Perbix,NSH,D,0
Jonathan Aspirot,BOS,D,1
Radko Gudas,ANA,D,0
Emil Andrae,PHI,D,1
Jeremy Lauzon,VGK,D,0
Cole Smith,"NSH,VGK",RW,0
Danton Heinen,"PIT,CBJ",LW,0
Brayden McNabb,VGK,D,0
Barclay Goodrow,SJS,C,0
Carson Soucy,"NYR,NYI",D,0
Oskar Bäck,DAL,C,0
Shakir Mukhamadullin,SJS,D,0
Isac Lundeström,CBJ,C,0
Yan Kuznetsov,CGY,D,0
Ian Moore,ANA,D,0
Emil Lilleberg,TBL,D,0
Neal Pionk,WPG,D,2
Ty Emberson,EDM,D,0
Jayden Struble,MTL,D,0
Gustav Nyquist,WPG,RW,5
Brett Kulak,"EDM,PIT,COL",D,0
Matt Grzelcyk,CHI,D,3
Colton Sissons,VGK,C,2
Dante Fabbro,CBJ,D,0
Nico Sturm,MIN,C,0
Nathan Walker,STL,LW,0
Alexey Toropchenko,STL,RW,0
Stephen Halliday,OTT,C,3
Erik Cernak,TBL,D,0
Niko Mikkola,FLA,D,0
Nils Lundkvist,DAL,D,0
Albert Johansson,DET,D,0
Mathieu Joseph,"STL,LAK",RW,0
Ty Dellandrea,SJS,C,0
Kaiden Guhle,MTL,D,0
Ryan Ufko,NSH,D,2
Tyler Myers,"VAN,DAL",D,0
Timothy Liljegren,"SJS,WSH",D,2
Pavol Regenda,SJS,LW,4
Isak Rosen,"BUF,WPG",RW,3
Nick Seeler,PHI,D,0
Luke Kunin,FLA,C,0
Porter Martone,PHI,RW,4
Rodrigo Abols,PHI,C,0
Jeffrey Truchon-Viel,"BOS,ANA",LW,0
Elias Pettersson,VAN,D,0
Otto Stenberg,STL,C,0
Cole Hutson,WSH,D,6
Alexander Petrovic,DAL,D,0
Spencer Stastney,"NSH,EDM",D,0
Noah Juulsen,PHI,D,0
Max Crozier,TBL,D,0
Joel Nystrom,CAR,D,0
Zakhar Bardakov,COL,C,0
Nick Bjugstad,"STL,NJD",C,0
Frank Vatrano,ANA,RW,1
Samuel Helenius,LAK,C,0
Alex Bump,PHI,LW,0
Ryan Lomberg,CGY,LW,0
Noah Gregor,FLA,LW,1
Brandon Duhaime,WSH,LW,0
Zayne Parekh,CGY,D,6
Brandon Saad,VGK,LW,0
Joel Kiviranta,COL,LW,0
Alexander Holtz,VGK,RW,0
Jeff Malott,LAK,LW,0
Anton Frondell,CHI,C,2
Luke Glendening,"NJD,PHI",C,0
Ryan Lindgren,SEA,D,0
Jesperi Kotkaniemi,CAR,C,0
Mike Reilly,CAR,D,0
Cody Ceci,LAK,D,0
Ilya Lyubushkin,DAL,D,0
Nikita Nesterenko,ANA,C,0
Jeff Petry,"FLA,MIN",D,2
Justin Barron,NSH,D,0
Calle Jarnkrok,TOR,C,0
Adam Erne,DAL,LW,0
Reid Schaefer,NSH,LW,0
Kevin Hayes,PIT,R,0
Sonny Milano,WSH,LW,0
Lian Bichsel,DAL,D,0
Samuel Blais,"TOR,MTL",LW,0
Jansen Harkins,ANA,C,0
Lukas Reichel,"CHI,VAN,BOS",L,0
Nick DeSimone,UTA,D,0
Jacob Bryson,"BUF,WPG",D,0
Lenni Hameenaho,NJD,RW,0
Jaccob Slavin,CAR,D,0
Mattias Janmark,EDM,C,0
Ilya Solovyov,"COL,PIT",D,0
Conor Timmins,BUF,D,0
Johnathan Kovacevic,NJD,D,0
Donovan Sebrango,"OTT,FLA",D,0
Nathan Bastian,DAL,RW,0
Cole Schwindt,FLA,RW,0
William Karlsson,VGK,C,1
Trent Frederic,EDM,C,0
Zack Ostapchuk,SJS,C,0
Jani Nyman,SEA,RW,2
Stefan Noesen,NJD,RW,3
John Beecher,"BOS,CGY",C,0
Landon Slaggert,CHI,LW,0
Taylor Ward,LAK,RW,0
Marc Gatcomb,NYI,C,0
Daniil But,UTA,LW,3
Kyle MacLean,NYI,C,0
Ville Koivunen,PIT,RW,4
Hunter Brzustewicz,CGY,D,1
Nate Danielson,DET,C,3
Luke Schenn,"WPG,BUF",D,0
Nick Leddy,SJS,D,0
Brett Pesce,NJD,D,0
Vincent Desharnais,SJS,D,0
Declan Chisholm,WSH,D,0
Brayden Pachal,CGY,D,0
Joel Hanley,CGY,D,0
Brandon Carlo,TOR,D,0
John St. Ivany,PIT,D,0
Curtis Lazar,EDM,C,0
Jaroslav Chmelar,NYR,RW,0
Brad Lambert,WPG,C,1
Rutger McGroarty,PIT,RW,0
Zach Bogosian,MIN,D,0
Brendan Gaunce,CBJ,C,0
Connor Clifton,PIT,D,0
David Kampf,"VAN,WSH",C,0
Mike Benning,FLA,D,1
Tyson Kozak,BUF,C,0
Zach Metsa,BUF,D,0
Jordan Greenway,BUF,LW,0
Pierre-Olivier Joseph,VAN,D,0
Urho Vaakanainen,NYR,D,0
Simon Benoit,TOR,D,0
Daemon Hunt,MIN,D,0
Scott Morrow,NYR,D,2
Avery Hayes,PIT,R,0
Zachary L'Heureux,NSH,LW,1
Max Jones,EDM,LW,0
Bo Groulx,TOR,C,0
Adam Edstrom,NYR,C,0
Jiri Kulich,BUF,C,0
Sandis Vilmanis,FLA,LW,0
Arttu Hyry,DAL,RW,0
David Tomasek,EDM,RW,2
Robby Fabbri,"STL,MIN",C,0
Kyle Capobianco,DAL,D,0
Joseph Veleno,MTL,C,0
Nils Hoglander,VAN,LW,0
Jack Finley,"TBL,STL",C,0
Jacob Melanson,SEA,RW,0
Isaac Howard,EDM,LW,0
Tim Washe,ANA,C,0
Scott Sabourin,TBL,R,0
Zach Aston-Reese,CBJ,LW,0
Jacob Bernard-Docker,DET,D,0
Ozzy Wiesblatt,NSH,C,0
Arshdeep Bains,VAN,LW,1
Elias Salomonsson,WPG,D,1
Tanner Laczynski,VGK,C,1
Nikolas Matinpalo,OTT,D,0
Liam O'Brien,UTA,C,0
Adam Sykora,NYR,LW,0
Tomas Nosek,FLA,LW,0
Haydn Fleury,WPG,D,0
John Leonard,DET,LW,2
Tobias Bjornfot,FLA,D,0
Samuel Honzek,CGY,LW,0
Theo Lindstein,STL,D,0
Josh Samanski,EDM,C,0
Maksim Tsyplakov,"NYI,NJD",R,0
Mackenzie MacEachern,VAN,LW,0
Filip Hallander,PIT,C,0
Curtis Douglas,"TBL,VAN",C,0
Joshua Dunne,BUF,C,0
Arber Xhekaj,MTL,D,0
Konsta Helenius,BUF,C,0
Ilya Protas,WSH,LW,1
Colton White,NJD,D,0
Adam Boqvist,NYI,D,1
Jared Wright,LAK,RW,0
Ryan Reaves,SJS,RW,0
Dominik Shine,DET,RW,0
Filip Chytil,VAN,C,0
Bradly Nadeau,CAR,LW,1
Noah Philp,"EDM,CAR",C,0
Juuso Parssinen,NYR,C,0
Matthew Kessel,STL,D,0
Brennan Othmann,"NYR,CGY",LW,1
Jonathan Lekkerimäki,VAN,RW,0
Ivan Miroshnichenko,WSH,LW,0
Erik Gudbranson,CBJ,D,0
Mathew Dumba,PIT,D,0
Garnet Hathaway,PHI,RW,0
Josh Mahura,SEA,D,0
Cale Fleury,SEA,D,0
Ben Jones,MIN,C,0
Jordan Harris,BOS,D,0
Martin Pospisil,CGY,C,0
Vladislav Kolyachonok,"DAL,BOS",D,0
Declan Carlile,TBL,D,0
Conor Geekie,TBL,C,0
Joakim Kemell,NSH,RW,0
Jacob Quillan,TOR,C,0
Brandon Tanev,UTA,LW,0
Jonah Gadjovich,FLA,LW,0
Alec Regula,EDM,D,0
Jake Christiansen,CBJ,D,0
Egor Zamula,"PHI,CBJ",D,0
Marshall Warren,NYI,D,0
Lassi Thomson,OTT,D,1
Vincent Iorio,"SJS,NYR",D,0
Marek Alscher,FLA,D,0
Victor Mancini,VAN,D,0
Tyler Pitlick,MIN,C,0
Justin Holl,STL,D,0
Justin Kirkland,CGY,C,0
Sam Lafferty,CHI,C,0
Jake Bean,CGY,D,0
Olle Lycksell,OTT,R,0
Hugh McGing,STL,LW,0
Andre Lee,LAK,LW,0
Hunter Haight,MIN,C,0
Brian Halonen,NJD,LW,0
