Player,Team,Position,Off. Zone Starts,Off. Zone Start %,Off. Zone Faceoffs,Off. Zone Faceoff %
Zach Benson,BUF,L,130,49.43,219,48.03
Bradly Nadeau,CAR,L,24,64.86,48,59.26
Sean Monahan,CBJ,C,184,51.25,316,48.24
Adrian Kempe,L.A,R,241,66.03,452,59.16
Jonatan Berggren,"DET, STL",R,105,55.56,190,51.91
Elias Salomonsson,WPG,D,46,36.8,151,49.19
Oscar Fisker Molgaard,SEA,C,22,48.89,28,43.75
Parker Wotherspoon,PIT,D,135,45.61,404,49.82
Owen Beck,MTL,C,26,72.22,41,57.75
Filip Forsberg,NSH,L,187,57.72,396,50.83
Nick Cousins,OTT,C,116,57.71,172,48.45
Jacob Trouba,ANA,D,177,43.49,473,49.12
Zach Hyman,EDM,L,147,66.82,291,62.45
MacKenzie Weegar,"CGY, UTA",D,186,44.5,504,53.05
Blake Coleman,CGY,L,92,28.93,209,34.95
Anton Lundell,FLA,C,137,47.57,250,48.36
Mavrik Bourque,DAL,C,112,50.91,234,46.8
Adam Fantilli,CBJ,C,253,72.91,464,64.99
Igor Chernyshov,S.J,L,72,72.73,136,58.62
Ivan Barbashev,VGK,L,242,66.85,454,61.19
Michael Bunting,"DAL, NSH",L,144,63.16,300,57.25
Jakob Chychrun,WSH,D,193,60.88,492,58.36
Brandon Saad,VGK,L,91,55.49,182,53.53
Ian Moore,ANA,D,113,43.8,225,45.64
Alexandre Texier,"MTL, STL",L,73,49.66,141,44.9
Jeff Petry,"FLA, MIN",D,117,61.26,246,55.03
Niko Mikkola,FLA,D,143,47.51,336,50
Rasmus Dahlin,BUF,D,186,46.04,447,50.91
Robert Thomas,STL,C,193,53.91,323,53.65
Kent Johnson,CBJ,C,140,56.68,245,52.35
Ryan Graves,PIT,D,16,32,67,43.51
Owen Power,BUF,D,202,49.27,416,49.41
Josh Doan,BUF,R,211,53.69,339,50.82
Brett Pesce,N.J,D,101,54.01,222,55.5
Mathew Barzal,NYI,C,192,61.94,380,57.58
Cody Glass,N.J,C,147,45.65,259,47.01
Jack Devine,FLA,R,13,86.67,17,80.95
Mikael Granlund,ANA,C,118,46.27,236,46.64
Emil Lilleberg,T.B,D,95,51.91,232,53.33
Anze Kopitar,L.A,C,205,63.47,380,58.55
Anders Lee,NYI,L,180,57.51,350,54.18
Kaedan Korczak,VGK,D,128,52.03,311,53.44
Simon Edvinsson,DET,D,102,34.58,344,43.43
Matthew Poitras,BOS,C,6,54.55,8,40
Cole Smith,"NSH, VGK",R,54,27.69,102,27.79
Boone Jenner,CBJ,C,129,48.13,249,48.07
Denton Mateychuk,CBJ,D,146,48.5,348,51.1
Matt Boldy,MIN,L,142,49.13,313,47.71
Spencer Stastney,"EDM, NSH",D,109,49.32,262,49.9
David Perron,"DET, OTT",L,132,62.26,195,55.4
Adam Lowry,WPG,C,118,34.81,214,38.63
William Karlsson,VGK,C,13,38.24,39,46.99
Jason Robertson,DAL,L,173,56.35,318,48.04
David Reinbacher,MTL,D,1,50,8,72.73
Josh Norris,BUF,C,111,51.15,175,47.17
Nick Paul,T.B,L,100,52.36,157,47.29
Seth Jones,FLA,D,107,43.67,239,47.9
Brian Dumoulin,L.A,D,107,37.81,321,45.4
Connor Brown,N.J,R,138,55.2,263,53.24
Noah Ostlund,BUF,C,144,62.88,249,58.87
Cody Ceci,L.A,D,88,32.71,261,39.55
Artem Zub,OTT,D,117,32.77,319,38.95
Dylan Samberg,WPG,D,102,35.79,290,45.53
Adam Engstrom,MTL,D,29,69.05,69,67.65
Kirill Kaprizov,MIN,L,234,66.86,492,58.99
Justin Barron,NSH,D,69,47.92,180,46.39
Alex DeBrincat,DET,R,161,49.39,352,50.43
Michael Eyssimont,BOS,C,74,44.85,125,41.95
Dylan Coghlan,VGK,D,11,78.57,19,70.37
Victor Hedman,T.B,D,44,49.44,126,55.51
Curtis Douglas,"T.B, VAN",C,57,73.08,83,59.29
Hampus Lindholm,BOS,D,99,39.13,305,48.18
Alex Tuch,BUF,R,238,58.91,379,55.82
Mathieu Olivier,CBJ,R,104,42.11,194,40.67
Mason Marchment,"CBJ, SEA",L,199,68.15,332,61.48
Logan Cooley,UTA,C,128,57.66,232,55.5
Marshall Warren,NYI,D,19,67.86,31,59.62
Brendan Gallagher,MTL,R,126,52.07,204,47.44
Sam Reinhart,FLA,C,155,50.65,272,50.46
Mike Benning,FLA,D,31,47.69,77,51.33
Tommy Novak,PIT,C,156,65.27,331,64.02
Connor Dewar,PIT,C,37,12.05,96,18.71
Connor Mackey,NYR,D,0,0,6,30
Jared Wright,L.A,R,15,19.74,41,27.89
Adam Wilsby,NSH,D,79,39.9,218,42.41
Tyler Tucker,STL,D,91,47.15,206,49.64
Justin Kirkland,CGY,C,8,26.67,29,43.94
Joel Edmundson,L.A,D,232,62.7,487,58.67
Matt Rempe,NYR,C,20,41.67,33,36.67
Reilly Smith,VGK,R,98,51.58,215,50.59
Justin Sourdif,WSH,"C, R",120,39.6,214,38.49
Dmitry Orlov,S.J,D,144,41.98,411,47.96
Taylor Makar,COL,L,14,70,19,59.38
Porter Martone,PHI,R,14,50,29,47.54
Scott Morrow,NYR,D,45,51.14,106,50
Uvis Balinskis,FLA,D,120,60.91,240,56.87
Michael Amadio,OTT,R,120,34.29,195,31.91
Ryan Strome,"ANA, CGY",C,103,57.22,189,54.62
Johnathan Kovacevic,N.J,D,54,36.73,123,40.46
Nino Niederreiter,WPG,R,85,41.06,149,42.21
Jonathan Drouin,"NYI, STL",L,134,56.3,244,52.36
Sean Kuraly,BOS,C,66,28.95,149,32.53
Casey Mittelstadt,BOS,C,120,42.86,242,44.24
Steven Stamkos,NSH,C,184,54.44,357,49.65
Charlie Coyle,CBJ,C,158,39.5,280,37.99
Oliver Bjorkstrand,T.B,R,147,59.27,216,53.87
Mikey Anderson,L.A,D,119,36.73,330,42.31
Marcus Johansson,MIN,L,123,47.67,280,48.44
Urho Vaakanainen,NYR,D,19,26.03,69,35.57
Lucas Raymond,DET,L,182,50.7,339,46.82
Ivan Provorov,CBJ,D,170,41.26,470,46.4
Ryan McDonagh,T.B,D,79,42.02,191,45.15
Jonas Siegenthaler,N.J,D,150,41.21,365,45.63
Emil Heineman,NYI,L,173,54.4,335,52.76
Brenden Dillon,N.J,D,152,45.92,357,50.64
Tobias Bjornfot,FLA,D,27,50.94,55,47.41
Cole Sillinger,CBJ,C,168,49.7,297,45.07
Ben Hutton,VGK,D,118,65.56,254,64.14
Vladislav Gavrikov,NYR,D,214,52.97,547,52.9
Patrick Kane,DET,R,159,56.79,307,53.86
Roman Josi,NSH,D,167,53.7,452,51.83
Linus Karlsson,VAN,C,126,53.85,200,46.73
Ian Cole,UTA,D,116,44.79,299,46.79
Ryan Hartman,MIN,R,128,49.04,346,49.22
Alex Ovechkin,WSH,L,305,98.07,464,85.77
Jeremy Lauzon,VGK,D,119,45.42,296,49.66
Nicolas Hague,NSH,D,93,46.5,281,45.92
Connor Zary,CGY,C,120,48.58,257,51.2
Dylan Holloway,STL,L,165,61.57,276,57.5
Tage Thompson,BUF,C,258,60.85,413,57.04
Ryan McLeod,BUF,C,174,47.67,296,47.44
William Eklund,S.J,L,138,45.39,286,45.76
Brett Howden,VGK,C,99,49.5,212,51.46
Henri Jokiharju,BOS,D,55,36.67,167,43.72
Zemgus Girgensons,T.B,C,123,39.81,198,38
Brendan Gaunce,CBJ,C,29,35.8,43,30.28
Dylan Larkin,DET,C,163,47.38,307,43.98
Jake Christiansen,CBJ,D,42,50.6,88,45.83
Axel Sandin-Pellikka,DET,D,131,50.58,318,54.27
Roope Hintz,DAL,C,118,54.63,203,45.82
Sidney Crosby,PIT,C,201,66.56,402,58.69
Mikael Backlund,CGY,C,93,25.62,229,31.72
Brock Faber,MIN,D,141,39.61,510,47.98
Phillip Danault,"L.A, MTL",C,131,40.68,236,40.76
Viktor Arvidsson,BOS,L,123,44.24,225,44.03
Andrew Copp,DET,C,158,48.92,326,50.46
Matthew Schaefer,NYI,D,170,50.15,418,52.38
Hayden Hodgson,OTT,R,9,75,13,50
Joel Eriksson Ek,MIN,C,117,44.15,268,45.89
Rafael Harvey-Pinard,PIT,L,2,50,2,33.33
Jayden Struble,MTL,D,86,62.77,210,58.5
